FFTR,LIGAZID,EMAZID,LIPICON,AGLIP,CIFIBET,AMLEVO,CARDOBIS,RIVAROX,NOCLOG,BEMPID,AROTIDE,FOBUNID
CBF,182,87,151,125,142,222,167,57,109,89,34,0
CBU,242,156,143,120,272,327,194,78,140,199,48,2
CCF,169,111,124,63,132,250,158,99,121,109,43,5
CCX,211,146,145,166,220,250,238,63,113,174,34,4
CDN,185,142,149,118,183,255,217,105,122,152,56,7
CKJ,173,82,107,89,123,205,168,89,117,100,33,1
CMT,185,122,120,103,142,244,140,77,123,153,15,1
CNH,140,113,109,85,130,190,142,73,111,124,13,1
CRB,136,103,120,62,106,206,180,55,110,96,44,1
CRP,125,102,110,79,117,219,143,57,107,91,24,0
CSB,184,126,146,91,136,285,210,117,119,85,26,4
