FFTR,LIGAZID,EMAZID,LIPICON,AGLIP,CIFIBET,AMLEVO,CARDOBIS,RIVAROX,NOCLOG,BEMPID,AROTIDE,FOBUNID
CBF,16.85,14.33,21.06,7.84,16.83,16.64,16.44,8.52,16.96,0,15.75,0
CBU,17.24,16.37,14.81,8.73,24.97,36.42,14.23,11.06,19.15,0,12.22,0
CCF,15.66,16.09,15.39,3.03,19.18,14.79,15.16,8.73,15.07,0,14.28,0
CCX,17.95,19.36,16.98,9.34,18.86,15.38,15.97,8.77,17.51,0,17.94,0
CDN,16.74,15.72,16.54,9.49,24.47,22.71,16.47,8.58,16.49,0,15,0
CKJ,14.55,11.71,15.69,13.06,15.44,14.21,12.86,6.96,14.04,0,17.04,0
CMT,13.17,14.62,12.02,5.46,16.41,15.86,13.64,6.29,13.66,0,10.23,0
CNH,16.34,16.54,16.34,8.07,26.45,22.06,16.97,11.22,17.5,0,10.87,0
CRB,17.86,15.01,14.64,5.77,13.85,22.59,15.25,9.19,15.79,0,23.57,0
CRP,15.38,13.41,18.73,10.48,23.81,18.05,12.97,7.54,11.9,0,25.03,0
CSB,16.41,19.52,17.69,8.34,18.22,21.8,17.56,8.38,16.55,0,11.62,0
